Date,Class-Type,Symbol,Year,Month,Strike-Price,P-C,Isin-Code,Mark-Price,Downside5,Downside4,Downside3,Downside2,Downside1,Upside1,Upside2,Upside3,Upside4,Upside5,Short-Adjustment,Volatility,Open-Interest,Cleared-Volume,Market-Id,Market-Id
20151126,O,ACE,2016,2,15.0,P,IT0012661846,1.305,1.358046,1.068022,0.784145,0.509332,0.246892,0.228561,0.436721,0.613527,0.766189,0.896019,1.358046,0.189,0,0,2,2
20151126,O,ACE,2016,2,15.5,C,IT0012661853,0.0639,0.061734,0.058874,0.053233,0.043054,0.026129,0.040508,0.100005,0.179328,0.279804,0.402056,0.402056,0.187,0,0,2,2
20151126,O,ACE,2016,2,15.5,P,IT0012661861,1.7334,1.425225,1.130696,0.838952,0.551752,0.271302,0.256785,0.494654,0.712694,0.909577,1.084681,1.425225,0.187,0,0,2,2
20151126,O,ACE,2016,2,16.0,C,IT0012661879,0.0287,0.028066,0.027098,0.025031,0.021024,0.013682,0.022367,0.055988,0.103388,0.1666,0.255713,0.2685,0.186,0,0,2,2
20151126,O,ACE,2016,2,16.0,P,IT0012661887,2.1983,1.458856,1.162424,0.8671,0.573722,0.283693,0.275012,0.538762,0.788728,1.022877,1.231115,1.458856,0.186,0,0,2,2
20151126,O,ACE,2016,2,16.5,C,IT0012661895,0.0116,0.011465,0.011222,0.010573,0.009073,0.005939,0.010376,0.026976,0.051724,0.092162,0.148445,0.2856,0.184,0,0,2,2
20151126,O,ACE,2016,2,16.5,P,IT0012661903,2.6812,1.475549,1.178384,0.881629,0.585731,0.291473,0.286978,0.567752,0.840368,1.097295,1.338378,1.475549,0.184,0,0,2,2
20151126,O,ACE,2016,2,17.0,C,IT0012661911,0.0042,0.00417,0.004099,0.003898,0.003392,0.00225,0.004373,0.011702,0.025569,0.047493,0.079628,0.293,0.183,0,0,2,2
20151126,O,ACE,2016,2,17.0,P,IT0012661929,3.1739,1.482825,1.185486,0.888273,0.591371,0.295113,0.293041,0.583081,0.866595,1.142047,1.407284,1.482825,0.183,0,0,2,2
20151126,O,ACE,2016,2,17.5,C,IT0012661937,0.0012,0.001194,0.001178,0.001129,0.000992,0.000659,0.001651,0.00502,0.011224,0.021658,0.037789,0.296,0.181,0,0,2,2
20151126,O,ACE,2016,2,17.5,P,IT0012661945,3.671,1.485725,1.18838,0.891035,0.593753,0.29668,0.2958,0.589825,0.881008,1.167956,1.449199,1.485725,0.181,0,0,2,2
20151126,F,ACE,2016,3,0.0,,IT0012225212,13.8043,1.486725,1.18938,0.892035,0.59469,0.297345,0.297345,0.59469,0.892035,1.18938,1.486725,0.00,0.0,0,0,2,2
20151126,O,ACE,2016,3,8.4,C,IT0012442858,5.432,1.476977,1.182973,0.888105,0.592607,0.296329,0.296924,0.593848,0.89093,1.188123,1.485316,1.485316,0.329,0,0,2,2
20151126,O,ACE,2016,3,8.4,P,IT0012442866,0.0016,0.009758,0.006417,0.003941,0.002093,0.001026,0.000411,0.000832,0.001095,0.001247,0.001399,0.2956,0.329,0,0,2,2
20151126,O,ACE,2016,3,8.6,C,IT0012311079,5.2321,1.475188,1.182309,0.887463,0.592442,0.296175,0.296899,0.593818,0.890851,1.188042,1.485234,1.485234,0.317,0,0,2,2
20151126,O,ACE,2016,3,8.6,P,IT0012311087,0.0017,0.011538,0.007072,0.004573,0.002249,0.001171,0.000445,0.000871,0.001184,0.001337,0.001491,0.2955,0.317,0,0,2,2
